project_id,project_name,canonical_address,field,current_value,resolved_value,rule_applied,resolution_confidence,project_confidence,delta_shape,last_evidence_date,evidence_count,supporting_evidence_count,evidence_ids,winning_source_type,winning_source_tier,winning_evidence_date,winning_collected_at,winning_source_record_id,delivery_provenance,delivery_date_type,resolved_status,resolved_total_units,estimate_status_input,estimate_total_units_input,description
1567ff4d-7343-4052-9861-6ed940023d57,,10806 SANTA MONICA BOULEVARD LOS ANGELES CA 90025,date_delivery,,2032-07-01,estimated_calc,low,low,null_to_value,2026-04-01,1,0,[],,,,,,estimated_calc,estimated_calc,Proposed,279,Proposed,279,Estimated delivery date derived from resolved status and unit-count size adjustment.
1fd23c43-749b-4b87-8c3f-8f3a7f07e49a,,5326 NORTH FIGUEROA STREET LOS ANGELES CA 90042,date_delivery,,2031-07-01,estimated_calc,low,low,null_to_value,2026-04-16,1,0,[],,,,,,estimated_calc,estimated_calc,Proposed,35,Proposed,35,Estimated delivery date derived from resolved status and unit-count size adjustment.
200310c5-76ee-4559-8661-f328faf4bb4c,Palmetto Colyton,527 COLYTON STREET LOS ANGELES CA 90013,date_delivery,,2032-07-01,estimated_calc,low,low,null_to_value,2026-04-16,1,0,[],,,,,,estimated_calc,estimated_calc,Proposed,310,Proposed,310,Estimated delivery date derived from resolved status and unit-count size adjustment.
45d41e22-c938-44a8-8bc0-deadd6f523fd,,4168 WEST SLAUSON AVENUE LOS ANGELES CA 90043,date_delivery,,2031-07-01,estimated_calc,low,low,null_to_value,2026-04-16,1,0,[],,,,,,estimated_calc,estimated_calc,Proposed,10,Proposed,10,Estimated delivery date derived from resolved status and unit-count size adjustment.
6d88c37b-dae9-45aa-bc86-7780350fb966,Alverado Temple,418-430 NORTH ALVARADO STREET LOS ANGELES CA 90026,date_delivery,,2031-07-01,estimated_calc,low,low,null_to_value,2026-04-16,1,0,[],,,,,,estimated_calc,estimated_calc,Proposed,73,Proposed,73,Estimated delivery date derived from resolved status and unit-count size adjustment.
b5e36a43-753a-4145-9b9b-eeea678d2db6,,1770 SAWTELLE BOULEVARD LOS ANGELES CA 90025,date_delivery,,2031-07-01,estimated_calc,low,low,null_to_value,2026-04-16,1,0,[],,,,,,estimated_calc,estimated_calc,Proposed,36,Proposed,36,Estimated delivery date derived from resolved status and unit-count size adjustment.
bbb1090c-22d9-474d-afb2-00369a9fb7dd,,4827 CRENSHAW BOULEVARD LOS ANGELES CA 90043,date_delivery,,2031-07-01,estimated_calc,low,low,null_to_value,2025-02-01,1,0,[],,,,,,estimated_calc,estimated_calc,Proposed,49,Proposed,49,Estimated delivery date derived from resolved status and unit-count size adjustment.
c3c4a359-a156-49c8-abf0-9df2c6ee9119,2649 West San Marino,2649 SAN MARINO STREET LOS ANGELES CA 90006,date_delivery,,2030-07-01,estimated_calc,low,low,null_to_value,2026-02-11,1,0,[],,,,,,estimated_calc,estimated_calc,Pending,90,Pending,90,Estimated delivery date derived from resolved status and unit-count size adjustment.
e08542c8-00cb-4cb8-a624-6a866d3d0712,4311 Sunset,4311 WEST SUNSET BOULEVARD LOS ANGELES CA 90029,date_delivery,,2029-07-01,estimated_calc,low,low,null_to_value,2025-11-15,1,0,[],,,,,,estimated_calc,estimated_calc,Approved,108,Approved,108,Estimated delivery date derived from resolved status and unit-count size adjustment.
fd450385-e9ab-46e7-9d00-d6b8037dc77f,,900 WEST MARTIN LUTHER KING JR BOULEVARD LOS ANGELES CA 90037,date_delivery,,2031-07-01,estimated_calc,low,low,null_to_value,2026-04-16,1,0,[],,,,,,estimated_calc,estimated_calc,Proposed,32,Proposed,32,Estimated delivery date derived from resolved status and unit-count size adjustment.
